client,cohort,value
c1,1,v1
c2,2,v1
c3,3,v1
c4,4,v1
c5,5,v1
c6,6,v1
c7,7,v1
c8,8,v1
c9,9,v1
c10,10,v1
c11,11,v1
c12,12,v1
c13,13,v1
c14,14,v1
c15,15,v1
c16,16,v1
c17,17,v1
c18,18,v1
c19,19,v1
c20,20,v1
c21,21,v1
c22,22,v1
c23,23,v1
c24,24,v1
c25,25,v1
c26,26,v1
c27,27,v1
c28,28,v1
c29,29,v1
c30,30,v1
c31,31,v1
c32,32,v1
c33,33,v1
c34,34,v1
c35,35,v1
c36,36,v1
c37,37,v1
c38,38,v1
c39,39,v1
c40,40,v1
c41,41,v1
c42,42,v1
c43,43,v1
c44,44,v1
c45,45,v1
c46,46,v1
c47,47,v1
c48,48,v1
c49,49,v1
c50,50,v1
c51,51,v1
c52,52,v1
c53,53,v1
c54,54,v1
c55,55,v1
c56,0,v1
c57,1,v1
c58,2,v1
c59,3,v1
c60,4,v1
c61,5,v1
c62,6,v1
c63,7,v1
c64,8,v1
c65,9,v1
c66,10,v1
c67,11,v1
c68,12,v1
c69,13,v1
c70,14,v1
c71,15,v1
c72,16,v1
c73,17,v1
c74,18,v1
c75,19,v1
c76,20,v1
c77,21,v1
c78,22,v1
c79,23,v1
c80,24,v1
c81,25,v1
c82,26,v1
c83,27,v1
c84,28,v1
c85,29,v1
c86,30,v1
c87,31,v1
c88,32,v1
c89,33,v1
c90,34,v1
c91,35,v1
c92,36,v1
c93,37,v1
c94,38,v1
c95,39,v1
c96,40,v1
c97,41,v1
c98,42,v1
c99,43,v1
c100,44,v1
c101,45,v1
c102,46,v1
c103,47,v1
c104,48,v1
c105,49,v1
c106,50,v1
c107,51,v1
c108,52,v1
c109,53,v1
c110,54,v1
c111,55,v1
c112,0,v1
c113,1,v1
c114,2,v1
c115,3,v1
c116,4,v1
c117,5,v1
c118,6,v1
c119,7,v1
c120,8,v1
c121,9,v1
c122,10,v1
c123,11,v1
c124,12,v1
c125,13,v1
c126,14,v1
c127,15,v1
c128,16,v1
c129,17,v1
c130,18,v1
c131,19,v1
c132,20,v1
c133,21,v1
c134,22,v1
c135,23,v1
c136,24,v1
c137,25,v1
c138,26,v1
c139,27,v1
c140,28,v1
c141,29,v1
c142,30,v1
c143,31,v1
c144,32,v1
c145,33,v1
c146,34,v1
c147,35,v1
c148,36,v1
c149,37,v1
c150,38,v1
c151,39,v1
c152,40,v1
c153,41,v1
c154,42,v1
c155,43,v1
c156,44,v1
c157,45,v1
c158,46,v1
c159,47,v1
c160,48,v1
c161,49,v1
c162,50,v1
c163,51,v1
c164,52,v1
c165,53,v1
c166,54,v1
c167,55,v1
c168,0,v1
c169,1,v1
c170,2,v1
c171,3,v1
c172,4,v1
c173,5,v1
c174,6,v1
c175,7,v1
c176,8,v1
c177,9,v1
c178,10,v1
c179,11,v1
c180,12,v1
c181,13,v1
c182,14,v1
c183,15,v1
c184,16,v1
c185,17,v1
c186,18,v1
c187,19,v1
c188,20,v1
c189,21,v1
c190,22,v1
c191,23,v1
c192,24,v1
c193,25,v1
c194,26,v1
c195,27,v1
c196,28,v1
c197,29,v1
c198,30,v1
c199,31,v1
c200,32,v1
c201,33,v1
c202,34,v1
c203,35,v1
c204,36,v1
c205,37,v1
c206,38,v1
c207,39,v1
c208,40,v1
c209,41,v1
c210,42,v1
c211,43,v1
c212,44,v1
c213,45,v1
c214,46,v1
c215,47,v1
c216,48,v1
c217,49,v1
c218,50,v1
c219,51,v1
c220,52,v1
c221,53,v1
c222,54,v1
c223,55,v1
c224,0,v1
c225,1,v1
c226,2,v1
c227,3,v1
c228,4,v1
c229,5,v1
c230,6,v1
c231,7,v1
c232,8,v1
c233,9,v1
c234,10,v1
c235,11,v1
c236,12,v1
c237,13,v1
c238,14,v1
c239,15,v1
c240,16,v1
c241,17,v1
c242,18,v1
c243,19,v1
c244,20,v1
c245,21,v1
c246,22,v1
c247,23,v1
c248,24,v1
c249,25,v1
c250,26,v1
c251,27,v1
c252,28,v1
c253,29,v1
c254,30,v1
c255,31,v1
c256,32,v1
c257,33,v1
c258,34,v1
c259,35,v1
c260,36,v1
c261,37,v1
c262,38,v1
c263,39,v1
c264,40,v1
c265,41,v1
c266,42,v1
c267,43,v1
c268,44,v1
c269,45,v1
c270,46,v1
c271,47,v1
c272,48,v1
c273,49,v1
c274,50,v1
c275,51,v1
c276,52,v1
c277,53,v1
c278,54,v1
c279,55,v1
c280,0,v1
c281,1,v1
c282,2,v1
c283,3,v1
c284,4,v1
c285,5,v1
c286,6,v1
c287,7,v1
c288,8,v1
c289,9,v1
c290,10,v1
c291,11,v1
c292,12,v1
c293,13,v1
c294,14,v1
c295,15,v1
c296,16,v1
c297,17,v1
c298,18,v1
c299,19,v1
c300,20,v1
c301,21,v1
c302,22,v1
c303,23,v1
c304,24,v1
